,Mkt-RF,SMB,HML,RMW,CMA,RF
20131111,0.12,0.03,-0.13,0,-0.01,0
20131112,-0.19,0.36,-0.7,0.51,0.12,0
20131113,0.9,0.08,-0.11,-0.37,-0.24,0
20131114,0.43,-0.58,0.3,-0.11,0.02,0
20131115,0.43,0.07,-0.28,0.04,-0.04,0
20131118,-0.5,-0.39,0.46,0.4,0.28,0
20131119,-0.27,-0.28,0.26,0.03,-0.01,0
20131120,-0.33,0.26,0.04,0.02,-0.02,0
20131121,0.97,0.8,-0.03,-0.45,-0.3,0
20131122,0.5,-0.07,0.08,-0.06,-0.02,0
20131125,-0.11,0.16,0.13,0.01,0.22,0
20131126,0.18,0.8,-0.42,-0.36,-0.41,0
20131127,0.3,0.34,-0.04,0.07,0.05,0
20131129,-0.02,0.25,-0.15,-0.01,-0.15,0
20131202,-0.31,-0.92,0.14,0.03,0.04,0
20131203,-0.34,-0.11,-0.09,0.14,-0.01,0
20131204,-0.07,-0.22,0.29,-0.37,-0.14,0
20131205,-0.35,0.6,-0.65,0.05,-0.43,0
20131206,1.02,-0.29,0.18,0,0.44,0
20131209,0.17,-0.41,0.01,-0.04,0.04,0
20131210,-0.34,-0.55,0.23,-0.05,-0.02,0
20131211,-1.17,-0.32,0.06,0.55,0.08,0
20131212,-0.23,0.4,0.23,-0.28,-0.09,0
20131213,0.1,0.23,0,-0.26,0.2,0
20131216,0.67,0.59,-0.13,0.18,-0.02,0
20131217,-0.26,0.2,-0.08,-0.15,-0.08,0
20131218,1.55,-0.43,0.05,-0.07,0.27,0
20131219,-0.1,-0.52,0.24,-0.07,0.14,0
20131220,0.69,1.26,-0.29,-0.23,-0.38,0
20131223,0.62,0.49,-0.01,-0.21,-0.17,0
20131224,0.34,0.1,0.09,-0.05,0.16,0
20131226,0.44,-0.33,-0.31,0.21,0.06,0
20131227,-0.05,-0.03,0.24,0.09,0.23,0
20131230,0,0.02,-0.31,0.11,0.06,0
20131231,0.44,-0.17,0.09,-0.04,-0.21,0
20140102,-0.88,-0.25,0.18,-0.31,0.13,0
20140103,0.03,0.4,0.04,-0.36,0.14,0
20140106,-0.34,-0.54,0.29,-0.32,0.1,0
20140107,0.68,0.31,-0.37,-0.07,-0.27,0
20140108,0.04,-0.01,-0.11,-0.48,-0.02,0
20140109,0.02,0.17,-0.44,-0.54,-0.42,0
20140110,0.27,0.45,-0.82,-0.3,-0.33,0
20140113,-1.32,-0.1,0.1,-0.1,0.46,0
20140114,1.15,0.11,-0.31,-0.07,-0.35,0
20140115,0.53,0.21,0.2,-0.4,-0.01,0
20140116,-0.07,0.25,-0.7,0.01,-0.27,0
20140117,-0.39,0.01,0.02,-0.19,0.04,0
20140121,0.3,0.44,0,-0.22,-0.33,0
20140122,0.15,0.3,0.22,-0.15,-0.19,0
20140123,-0.86,0.1,-0.54,0.19,-0.09,0
20140124,-2.19,-0.38,0.17,0.21,0.04,0
20140127,-0.65,-0.79,0.38,0.45,0.4,0
20140128,0.73,0.15,0.07,-0.84,0.16,0
20140129,-1.07,-0.34,0.21,0.15,0.16,0
20140130,1.22,0.22,-0.38,-0.87,-0.49,0
20140131,-0.66,-0.1,-0.34,0.2,-0.21,0
20140203,-2.49,-0.85,0.27,0.2,0.05,0
20140204,0.77,-0.06,-0.03,-0.15,0.21,0
20140205,-0.23,-0.58,0.2,0.13,0.2,0
20140206,1.21,-0.42,0.27,0.07,-0.06,0
20140207,1.33,-0.24,-0.63,-0.44,-0.47,0
20140210,0.16,0.07,-0.47,-0.29,-0.18,0
20140211,1.09,-0.17,0.25,0.01,0.1,0
20140212,0.11,0.26,-0.06,0.18,-0.01,0
20140213,0.72,0.65,-0.07,-0.22,-0.33,0
20140214,0.42,-0.33,0.36,0.37,0.35,0
20140218,0.27,0.94,-0.24,-0.31,-0.26,0
20140219,-0.74,-0.32,-0.44,0.33,0.07,0
20140220,0.7,0.52,-0.22,-0.02,-0.2,0
20140221,-0.09,0.37,-0.02,0,-0.06,0
20140224,0.65,0.21,0.33,-0.16,0,0
20140225,-0.1,0.07,-0.59,-0.09,0.03,0
20140226,0.12,0.66,-0.1,-0.02,0.01,0
20140227,0.54,0.08,0.01,-0.24,-0.03,0
20140228,0.15,-0.67,0.84,0.44,0.13,0
20140303,-0.7,0.09,0.14,0.04,0.11,0
20140304,1.67,1.06,-0.12,-0.45,-0.15,0
20140305,0.01,-0.21,0.29,-0.57,-0.11,0
20140306,0.16,-0.24,0.77,0.32,0.35,0
20140307,0.04,-0.01,0.52,0.18,0.31,0
20140310,-0.09,-0.07,0.09,0.01,-0.12,0
20140311,-0.62,-0.54,-0.19,0.45,-0.03,0
20140312,0.13,0.29,-0.17,-0.09,-0.41,0
20140313,-1.21,-0.06,0.22,0.18,0.07,0
20140314,-0.16,0.68,-0.09,0.19,0.02,0
20140317,0.9,-0.36,0.02,0.15,0.05,0
20140318,0.82,0.69,-0.39,-0.32,-0.27,0
20140319,-0.59,-0.13,0.62,-0.36,0.03,0
20140320,0.52,-0.36,1,-0.13,0.31,0
20140321,-0.37,-0.17,0.86,0.5,0.41,0
20140324,-0.64,-0.77,0.9,0.66,0.37,0
20140325,0.3,-0.34,0.15,0.28,0.17,0
20140326,-0.89,-1.11,0.24,0.69,0.44,0
20140327,-0.19,-0.12,-0.34,0.1,0.01,0
20140328,0.41,-0.36,0.55,0.57,0.31,0
20140331,0.97,0.99,-0.16,-0.22,0.05,0
20140401,0.87,0.65,-0.37,-0.18,-0.29,0
20140402,0.29,0.04,0.14,0.07,0.05,0
20140403,-0.31,-0.77,0.8,0.56,0.39,0
20140404,-1.47,-1.01,0.69,0.63,0.45,0
20140407,-1.26,-0.35,-0.07,0.23,0.06,0
20140408,0.5,0.27,-0.21,0.02,-0.11,0
20140409,1.21,0.22,-0.86,-0.46,-0.49,0
20140410,-2.24,-0.61,0.77,0.83,0.72,0
20140411,-1.07,-0.38,0.23,0.43,0.03,0
20140414,0.7,-0.47,0.2,0.33,-0.16,0
20140415,0.59,-0.35,0.2,-0.02,-0.14,0
20140416,1.13,0.01,-0.36,-0.05,-0.06,0
20140417,0.23,0.31,0.23,-0.19,0.1,0
20140421,0.36,0.18,-0.42,0.04,-0.09,0
20140422,0.58,0.69,-0.34,-0.7,-0.07,0
20140423,-0.31,-0.54,0.91,0.2,0.22,0
20140424,0.08,-0.4,-0.18,0.21,-0.18,0
20140425,-1.05,-0.88,0.53,0.83,0.66,0
20140428,0.11,-0.64,-0.59,1.16,0.03,0
20140429,0.56,-0.26,-0.11,-0.56,-0.16,0
20140430,0.35,0.22,-0.03,0.08,0.07,0
20140501,0.04,-0.18,-0.16,-0.5,-0.16,0
20140502,-0.07,0.26,0.41,0.32,0.17,0
20140505,0.13,-0.36,-0.54,0.14,-0.26,0
20140506,-1.03,-0.5,0.12,0.86,0.13,0
20140507,0.45,-0.74,1.1,0.06,0.54,0
20140508,-0.26,-0.97,0.38,0.11,0.24,0
20140509,0.25,0.64,-0.36,-0.14,-0.07,0
20140512,1.2,1.36,-0.25,-0.47,-0.29,0
20140513,-0.05,-1.04,0.21,0.01,0.01,0
20140514,-0.6,-1.13,-0.47,0.17,-0.17,0
20140515,-0.9,0.32,-0.28,0.21,-0.08,0
20140516,0.36,0.23,-0.42,0.19,-0.17,0
20140519,0.5,0.63,0.08,-0.32,-0.04,0
20140520,-0.78,-0.79,0.23,0.11,-0.13,0
20140521,0.81,-0.28,0.1,0.01,-0.15,0
20140522,0.36,0.61,-0.26,-0.55,-0.23,0
20140523,0.49,0.6,-0.23,-0.11,-0.05,0
20140527,0.69,0.67,-0.17,-0.53,-0.28,0
20140528,-0.11,-0.26,0.23,0.12,0.13,0
20140529,0.54,-0.22,-0.1,-0.05,-0.22,0
20140530,0.06,-0.61,0.26,0.34,0.08,0
20140602,0.06,-0.65,0.39,0.15,0.16,0
20140603,-0.05,-0.23,0.16,0.09,-0.16,0
20140604,0.28,0.24,-0.08,-0.19,-0.18,0
20140605,0.77,1.29,-0.17,-0.18,-0.12,0
20140606,0.54,0.48,-0.01,-0.13,-0.11,0
20140609,0.22,1.01,-0.31,-0.41,-0.05,0
20140610,-0.03,-0.19,-0.03,-0.35,0.07,0
20140611,-0.34,-0.18,-0.23,-0.15,-0.14,0
20140612,-0.68,0.1,0.17,-0.25,-0.01,0
20140613,0.31,-0.05,-0.18,0.1,-0.1,0
20140616,0.13,0.41,-0.69,-0.08,-0.29,0
20140617,0.34,0.56,0.45,-0.52,0.03,0
20140618,0.75,-0.24,-0.09,0.06,-0.21,0
20140619,0.12,-0.14,-0.04,0.17,-0.08,0
20140620,0.18,0.2,0.05,0.03,0.03,0
20140623,-0.01,-0.23,0.1,-0.05,-0.18,0
20140624,-0.72,-0.37,-0.26,0,0.03,0
20140625,0.53,0.34,0.16,-0.13,-0.25,0
20140626,-0.11,-0.09,0.02,0.12,-0.05,0
20140627,0.26,0.48,-0.22,0.13,-0.14,0
20140630,0.07,0.27,0.17,-0.28,-0.17,0
20140701,0.74,0.43,-0.39,0.07,-0.1,0
20140702,-0.03,-0.46,-0.21,0.08,0.22,0
20140703,0.59,0.21,0.11,0.01,0.21,0
20140707,-0.62,-1.19,0.34,0.76,0.25,0
20140708,-0.82,-0.55,0.72,0.81,0.39,0
20140709,0.46,-0.4,-0.12,-0.04,-0.06,0
20140710,-0.49,-0.6,-0.02,0.07,0.06,0
20140711,0.12,-0.3,-0.38,-0.39,-0.1,0
20140714,0.46,-0.01,-0.13,0.01,-0.14,0
20140715,-0.32,-0.82,1.01,0.22,0.33,0
20140716,0.32,-0.6,0.36,0.18,0.16,0
20140717,-1.21,-0.35,0.19,0.42,0.15,0
20140718,1.12,0.46,-0.45,-0.26,-0.28,0
20140721,-0.25,-0.24,0.05,-0.35,-0.26,0
20140722,0.53,0.28,-0.3,0.19,-0.18,0
20140723,0.19,0.11,-0.76,-0.24,0.06,0
20140724,0.05,-0.31,0.03,-0.21,-0.04,0
20140725,-0.53,-0.4,0.17,-0.02,0.07,0
20140728,-0.08,-0.45,0.27,0.03,-0.03,0
20140729,-0.33,0.63,-0.68,-0.17,-0.11,0
20140730,0.12,0.35,-0.32,-0.68,-0.33,0
20140731,-2.03,-0.16,0.48,0.38,0.27,0
20140801,-0.32,-0.23,-0.05,0.09,0.16,0
20140804,0.74,0.03,-0.21,-0.1,-0.45,0
20140805,-0.84,0.72,-0.19,-0.16,0.02,0
20140806,0.02,0.4,0.19,-0.03,0.28,0
20140807,-0.52,-0.05,-0.15,0.05,-0.04,0
20140808,1.12,-0.16,-0.15,0.35,0.15,0
20140811,0.4,0.55,-0.27,-0.16,-0.26,0
20140812,-0.23,-0.57,0.25,0.06,0.02,0
20140813,0.69,-0.15,-0.23,-0.39,-0.17,0
20140814,0.44,-0.25,0.02,-0.21,0.05,0
20140815,0,-0.15,-0.14,0.18,-0.23,0
20140818,0.93,0.58,-0.18,0,0.04,0
20140819,0.49,-0.12,-0.07,0.24,-0.15,0
20140820,0.19,-0.65,0.27,0.01,0.27,0
20140821,0.28,-0.07,0.8,-0.1,0.22,0
20140822,-0.1,0.27,-0.36,-0.06,-0.15,0
20140825,0.5,-0.21,0.03,-0.01,-0.08,0
20140826,0.19,0.68,-0.33,-0.38,-0.18,0
20140827,0,-0.2,0.14,0.14,0.11,0
20140828,-0.19,-0.39,0.09,0.21,0,0
20140829,0.39,0.28,0.09,-0.31,-0.16,0
20140902,0.06,0.42,-0.09,-0.09,-0.2,0
20140903,-0.14,-0.51,0.24,0.04,0.39,0
20140904,-0.17,-0.15,-0.18,0.18,0.01,0
20140905,0.45,-0.28,-0.03,0.13,0.03,0
20140908,-0.22,0.47,-0.44,-0.38,-0.21,0
20140909,-0.72,-0.42,0,0.29,0.13,0
20140910,0.45,0.16,-0.41,-0.29,-0.15,0
20140911,0.19,0.49,0.2,-0.24,-0.02,0
20140912,-0.55,-0.19,0.11,-0.06,0.14,0
20140915,-0.28,-0.93,0.65,0.46,0.64,0
20140916,0.7,-0.4,-0.1,0.15,-0.16,0
20140917,0.17,0.08,-0.22,-0.23,-0.15,0
20140918,0.5,0.02,0.01,-0.11,0,0
20140919,-0.18,-0.96,0.03,0.2,-0.06,0
20140922,-0.97,-0.54,0.09,0.45,0.17,0
20140923,-0.62,-0.32,-0.05,-0.02,-0.25,0
20140924,0.81,0.04,-0.93,0.09,-0.4,0
20140925,-1.62,0.13,0.12,0.32,0.24,0
20140926,0.85,-0.06,-0.24,0.09,-0.48,0
20140929,-0.22,0.18,-0.43,0.17,-0.27,0
20140930,-0.4,-1.01,0.11,0.03,0,0
20141001,-1.39,-0.14,0.3,0.2,-0.07,0
20141002,0.15,0.98,-0.39,-0.3,-0.32,0
20141003,1.08,-0.4,-0.44,-0.09,-0.09,0
20141006,-0.26,-0.76,0.37,0.31,0.13,0
20141007,-1.56,-0.14,0.13,0.26,0.03,0
20141008,1.7,-0.01,-0.06,-0.05,-0.05,0
20141009,-2.17,-0.48,-0.41,0.41,-0.1,0
20141010,-1.3,-0.07,0.5,0.74,0.35,0
20141013,-1.59,1.32,0.48,-0.31,0.18,0
20141014,0.28,0.85,-0.12,0.01,0.07,0
20141015,-0.54,1.66,-1.33,-0.49,-0.57,0
20141016,0.22,1.06,0.24,-0.44,0.14,0
20141017,1.14,-1.57,-0.09,-0.02,0.27,0
20141020,0.94,0.14,-0.32,0.1,-0.29,0
20141021,1.98,-0.42,0.07,0.07,-0.13,0
20141022,-0.85,-0.55,0.17,0.13,0.21,0
20141023,1.29,0.46,-0.44,-0.33,-0.04,0
20141024,0.66,-0.5,-0.12,-0.34,0.09,0
20141027,-0.17,0.07,-0.31,0.12,-0.02,0
20141028,1.37,1.56,0.03,-0.4,-0.19,0
20141029,-0.18,0,0.44,0.21,0.33,0
20141030,0.6,0.2,-0.52,-0.42,0.09,0
20141031,1.23,0.32,0.2,0.19,-0.01,0
20141103,-0.01,-0.3,-0.07,0.05,0.14,0
20141104,-0.35,-0.04,-0.2,0.13,0.02,0
20141105,0.48,-0.43,0.86,0.31,0.73,0
20141106,0.49,0.06,-0.47,0.11,-0.26,0
20141107,0.09,0.01,0.47,-0.21,0.06,0
20141110,0.33,0.14,-0.52,-0.28,-0.36,0
20141111,0.1,0.01,-0.27,0.11,-0.26,0
20141112,0.07,0.71,-0.27,0.19,0.06,0
20141113,-0.03,-0.9,-0.36,0.57,0.01,0
20141114,0.06,-0.15,0.17,-0.02,-0.12,0
20141117,-0.05,-0.94,0.24,0.01,0.21,0
20141118,0.51,0,-0.35,-0.14,0,0
20141119,-0.21,-0.87,-0.04,0.39,0.05,0
20141120,0.31,0.88,0.01,-0.04,-0.03,0
20141121,0.48,-0.37,-0.07,-0.08,0.04,0
20141124,0.4,0.92,-0.55,-0.21,-0.09,0
20141125,-0.09,0.04,-0.03,0.11,0.17,0
20141126,0.3,0.02,-0.48,-0.19,-0.17,0
20141128,-0.34,-1,-1.16,0.67,0.02,0
20141201,-0.89,-0.89,0.62,0.1,0.48,0
20141202,0.65,0.45,0.09,-0.49,0.04,0
20141203,0.46,0.45,0.32,-0.17,0.01,0
20141204,-0.17,-0.34,0.08,0.09,-0.13,0
20141205,0.25,0.57,0.25,-0.65,0.18,0
20141208,-0.82,-0.55,0.21,0.01,0.12,0
20141209,0.13,1.67,-0.1,-0.49,-0.36,0
20141210,-1.72,-0.62,-0.12,0.14,0.18,0
20141211,0.5,-0.06,-0.18,0.19,0.06,0
20141212,-1.55,0.46,-0.59,0.21,-0.29,0
20141215,-0.68,-0.24,0.08,0.71,0.12,0
20141216,-0.8,0.68,0.62,-0.13,0.39,0
20141217,2.15,0.91,-0.07,-0.47,-0.4,0
20141218,2.36,-0.91,-0.19,-0.42,-0.2,0
20141219,0.43,-0.24,0.23,-0.46,-0.02,0
20141222,0.37,0.2,-0.1,0.19,0.08,0
20141223,0.21,-0.14,1.1,0.59,0.54,0
20141224,0.07,0.35,-0.18,-0.12,-0.05,0
20141226,0.39,0.34,-0.32,-0.08,-0.16,0
20141229,0.13,0.21,0.58,0.19,0.16,0
20141230,-0.48,0.07,0.32,-0.06,0.31,0
20141231,-0.93,0.48,-0.4,-0.13,-0.19,0
20150102,-0.12,-0.57,0.08,-0.25,0.12,0
20150105,-1.84,0.25,-0.68,0.16,-0.08,0
20150106,-1.04,-0.78,-0.31,0.53,0.02,0
20150107,1.19,0.17,-0.66,0.25,-0.14,0
20150108,1.81,-0.1,-0.28,0.11,-0.16,0
20150109,-0.85,-0.03,-0.47,-0.12,-0.16,0
20150112,-0.79,0.35,-0.44,0.15,0.17,0
20150113,-0.19,0.25,0.01,0.43,0.02,0
20150114,-0.6,0.27,-0.51,0.19,-0.14,0
20150115,-1.08,-0.95,0.59,0.71,0.61,0
20150116,1.36,0.49,-0.13,-0.31,-0.1,0
20150120,0.11,-0.75,-0.51,0.03,-0.44,0
20150121,0.42,-0.91,0.57,0.2,-0.02,0
20150122,1.58,0.46,0.42,0.01,-0.1,0
20150123,-0.47,0.43,-0.77,-0.05,-0.53,0
20150126,0.43,0.58,-0.05,-0.42,-0.07,0
20150127,-1.21,0.73,0.2,-0.36,0.49,0
20150128,-1.39,-0.17,-0.82,0.52,-0.22,0
20150129,0.98,0.21,0.03,0.02,-0.35,0
20150130,-1.31,-0.83,0.05,-0.16,-0.45,0
20150202,1.24,-0.38,1,0.05,0.13,0
20150203,1.49,0.24,0.49,0.05,0.39,0
20150204,-0.35,-0.09,-0.23,0.33,-0.07,0
20150205,1.1,0.42,-0.07,-0.54,-0.2,0
20150206,-0.2,0.09,0.35,-0.18,-0.12,0
20150209,-0.46,-0.35,0.12,-0.03,-0.03,0
20150210,1.05,-0.36,-0.72,0.1,-0.38,0
20150211,0.03,-0.16,-0.33,0.08,-0.07,0
20150212,1,0.17,-0.06,-0.15,-0.29,0
20150213,0.47,0.14,-0.32,-0.3,-0.24,0
20150217,0.17,-0.01,-0.07,-0.19,-0.15,0
20150218,0.03,0.26,-0.81,0.29,-0.18,0
20150219,-0.01,0.21,-0.37,-0.05,-0.37,0
20150220,0.61,-0.44,-0.27,-0.07,-0.1,0
20150223,-0.08,0.04,-0.37,0.38,-0.22,0
20150224,0.32,0,0.72,-0.23,0.35,0
20150225,0.02,0.2,-0.49,-0.57,-0.2,0
20150226,-0.08,0.54,-0.49,-0.14,-0.32,0
20150227,-0.36,-0.22,0.19,0.06,0.28,0
20150302,0.62,0.19,-0.46,0.06,0.06,0
20150303,-0.43,-0.3,0.31,-0.08,0.04,0
20150304,-0.41,0.12,-0.38,-0.04,-0.26,0
20150305,0.15,0.22,-0.42,-0.51,-0.12,0
20150306,-1.29,0.3,0.43,-0.11,0.01,0
20150309,0.37,0.11,-0.02,0.29,-0.05,0
20150310,-1.63,0.43,-0.52,0.13,-0.14,0
20150311,-0.04,0.61,0.51,-0.48,-0.03,0
20150312,1.28,0.41,0.5,-0.07,0.21,0
20150313,-0.57,0.2,-0.04,-0.09,-0.1,0
20150316,1.23,-0.79,-0.38,-0.13,-0.12,0
20150317,-0.2,0.52,-0.02,-0.02,-0.25,0
20150318,1.08,-0.5,0.02,0.15,-0.01,0
20150319,-0.36,0.8,-1.12,0.09,-0.38,0
20150320,0.81,-0.11,0.56,0.44,0.23,0
20150323,-0.19,0.2,0.23,0.18,0.28,0
20150324,-0.51,0.54,-0.25,0.11,-0.22,0
20150325,-1.56,-0.9,1.03,0.37,0.45,0
20150326,-0.22,0.09,-0.04,0.02,-0.2,0
20150327,0.32,0.43,-0.71,-0.14,-0.13,0
20150330,1.24,0.06,0,-0.29,0.01,0
20150331,-0.75,0.44,0.38,0.17,0.2,0
20150401,-0.38,0.34,0.44,-0.17,0.24,0
20150402,0.35,-0.1,0.28,-0.12,0.23,0
20150406,0.61,-0.29,-0.11,0.21,-0.22,0
20150407,-0.22,-0.2,-0.18,-0.18,-0.23,0
20150408,0.37,0.46,-0.73,-0.04,-0.27,0
20150409,0.41,-0.73,-0.07,-0.25,0.13,0
20150410,0.49,-0.16,-0.29,-0.47,0.22,0
20150413,-0.38,0.55,0.24,-0.13,-0.09,0
20150414,0.1,-0.15,0.23,0.07,0.1,0
20150415,0.57,0.28,0.36,-0.21,-0.1,0
20150416,-0.08,-0.11,-0.21,-0.2,-0.19,0
20150417,-1.23,-0.42,0.16,0.17,0.07,0
20150420,0.95,0.15,-0.27,0.45,-0.31,0
20150421,-0.1,0.11,-0.73,0.11,-0.24,0
20150422,0.46,-0.39,0.18,-0.06,0.02,0
20150423,0.29,0.3,-0.25,-0.01,-0.24,0
20150424,0.17,-0.53,-0.31,0.83,-0.52,0
20150427,-0.54,-0.66,0.56,0.54,-0.08,0
20150428,0.27,0.24,1.06,0.06,0.4,0
20150429,-0.38,-0.73,0.74,-0.76,-0.03,0
20150430,-1.11,-1.02,0.73,0.25,0.42,0
20150501,1.01,-0.31,-0.6,0.25,-0.1,0
20150504,0.32,0.1,0.23,-0.15,0.02,0
20150505,-1.19,-0.15,0.52,-0.01,0.21,0
20150506,-0.31,0.6,-0.13,-0.25,0.14,0
20150507,0.39,0.01,-0.36,-0.25,0.08,0
20150508,1.21,-0.55,-0.12,-0.28,-0.22,0
20150511,-0.39,0.67,-0.02,-0.04,0.02,0
20150512,-0.27,0,0.11,-0.15,0,0
20150513,0.01,-0.01,0.04,-0.12,0.02,0
20150514,1.01,-0.15,-0.34,0.11,-0.39,0
20150515,0.05,-0.22,-0.21,0.25,0.27,0
20150518,0.44,0.73,-0.09,-0.19,-0.28,0
20150519,-0.09,-0.08,0.24,-0.11,-0.04,0
20150520,-0.05,0.19,-0.12,-0.15,0.04,0
20150521,0.23,-0.29,0.01,0.09,-0.14,0
20150522,-0.22,-0.13,-0.12,-0.12,-0.04,0
20150526,-1.01,-0.03,-0.02,-0.1,0.16,0
20150527,0.93,0.3,-0.3,-0.05,-0.29,0
20150528,-0.12,0.1,0.15,-0.23,0.09,0
20150529,-0.58,0.04,0.04,-0.25,0.01,0
20150601,0.17,-0.06,-0.22,0.24,-0.34,0
20150602,-0.02,0.32,0.35,-0.21,0.18,0
20150603,0.39,0.86,-0.24,-0.14,-0.07,0
20150604,-0.88,-0.08,0,0.2,-0.02,0
20150605,0.06,0.84,0.1,-0.54,-0.38,0
20150608,-0.66,0.05,0,0.06,0.03,0
20150609,0.02,-0.28,0.37,0.14,0.1,0
20150610,1.2,0.17,0.21,-0.03,0,0
20150611,0.21,-0.09,-0.1,0.16,-0.01,0
20150612,-0.63,0.34,0.12,0.08,0.09,0
20150615,-0.45,0.16,-0.14,-0.21,-0.26,0
20150616,0.57,0.1,-0.01,0.12,-0.1,0
20150617,0.16,-0.32,-0.65,0.17,-0.05,0
20150618,0.99,0.17,-0.44,-0.15,-0.15,0
20150619,-0.43,0.52,-0.2,0.08,-0.05,0
20150622,0.63,0.1,-0.05,-0.16,-0.2,0
20150623,0.12,0.25,0.29,-0.1,0,0
20150624,-0.79,-0.14,0.12,0.16,-0.05,0
20150625,-0.25,0.34,-0.2,0.15,-0.08,0
20150626,-0.06,-0.18,0.41,0.32,0.28,0
20150629,-2.15,-0.42,0.17,0.32,0.09,0
20150630,0.34,0.29,-0.65,-0.31,-0.59,0
20150701,0.61,-0.76,-0.03,0.21,0.08,0
20150702,-0.11,-0.61,-0.1,-0.05,-0.02,0
20150706,-0.37,0.12,-0.55,-0.23,-0.14,0
20150707,0.53,-0.49,-0.3,0.44,0.03,0
20150708,-1.68,-0.02,0.09,0.16,0.07,0
20150709,0.29,0.15,0.02,-0.31,-0.28,0
20150710,1.24,0.19,-0.51,-0.22,-0.02,0
20150713,1.14,-0.1,-0.43,0.09,-0.2,0
20150714,0.47,0.15,0.1,-0.31,-0.25,0
20150715,-0.19,-0.8,-0.06,-0.21,-0.35,0
20150716,0.78,-0.24,-0.64,-0.26,-0.55,0
20150717,0.05,-0.65,-0.66,-0.25,-0.72,0
20150720,-0.01,-0.77,-0.6,0.37,-0.22,0
20150721,-0.47,0.06,0.3,-0.18,-0.01,0
20150722,-0.18,0.25,0.23,-0.37,0.02,0
20150723,-0.6,-0.42,-0.31,-0.07,0.04,0
20150724,-1.08,-0.69,0.05,-0.05,-0.08,0
20150727,-0.74,-0.26,0.07,0.1,0.3,0
20150728,1.23,-0.36,-0.13,0,0.16,0
20150729,0.74,-0.26,0.53,0.95,0.25,0
20150730,0.12,0.17,-0.28,0.15,-0.2,0
20150731,-0.15,0.74,-1.01,0.24,-0.08,0
20150803,-0.34,-0.33,-0.21,0.08,0.05,0
20150804,-0.14,-0.02,-0.13,-0.03,0.23,0
20150805,0.36,-0.09,-0.41,-0.02,-0.01,0
20150806,-0.88,-0.35,1.93,0.35,0.7,0
20150807,-0.36,-0.45,-0.3,0.27,0.09,0
20150810,1.31,0.19,0.7,0.18,-0.01,0
20150811,-0.98,-0.08,0.43,0.14,0.05,0
20150812,0.07,-0.18,-0.32,-0.12,-0.08,0
20150813,-0.14,-0.44,0.07,0.14,-0.08,0
20150814,0.43,0.14,0.44,-0.08,0.01,0
20150817,0.6,0.36,-0.87,-0.22,-0.36,0
20150818,-0.35,-0.61,0.38,0.36,0.03,0
20150819,-0.85,-0.21,-0.22,-0.11,-0.04,0
20150820,-2.24,-0.23,0.58,0.63,0.54,0
20150821,-2.95,1.8,0.14,-0.73,0.73,0
20150824,-3.9,0.28,-0.42,0.46,0.1,0
20150825,-1.17,0.59,-0.6,-0.3,-0.56,0
20150826,3.68,-1.41,-0.34,0.15,-0.58,0
20150827,2.4,-0.64,0.6,-0.29,-0.14,0
20150828,0.23,1,0.08,-0.26,0.08,0
20150831,-0.74,0.9,1.42,0.11,0.46,0
20150901,-2.91,0.23,-0.5,-0.04,0.07,0
20150902,1.81,-0.28,-0.92,0.18,-0.61,0
20150903,0.17,-0.2,0.75,0.34,0.67,0
20150904,-1.39,0.84,-0.57,-0.08,-0.4,0
20150908,2.52,-0.39,-0.57,-0.09,-0.3,0
20150909,-1.34,0.18,0.13,0.22,0.01,0
20150910,0.49,-0.18,-0.35,-0.22,-0.61,0
20150911,0.44,-0.28,-0.69,-0.1,-0.32,0
20150914,-0.41,0.03,0.03,-0.02,-0.04,0
20150915,1.22,-0.16,0.28,0,0.11,0
20150916,0.84,0.04,0.44,0.32,0.19,0
20150917,-0.17,0.79,-1.5,-0.28,-0.32,0
20150918,-1.62,0.29,-0.96,-0.44,-0.45,0
20150921,0.36,-0.84,1.24,0.5,0.12,0
20150922,-1.29,-0.3,0.14,0.31,0.09,0
20150923,-0.27,-0.21,-0.16,-0.18,-0.27,0
20150924,-0.36,0.27,0.52,-0.07,0.03,0
20150925,-0.22,-1.47,1.88,0.54,0.48,0
20150928,-2.63,-0.22,1.15,0.68,0.53,0
20150929,-0.07,-0.62,0.69,0.73,0.46,0
20150930,1.88,-0.48,-0.44,-0.46,-0.32,0
20151001,0.13,-0.52,-0.06,-0.14,-0.15,0
20151002,1.48,0.25,-0.84,-0.13,0.04,0
20151005,1.93,0.74,0.77,0.11,0.6,0
20151006,-0.43,-0.09,1.65,0.34,0.55,0
20151007,0.94,0.78,-0.24,-0.13,0.1,0
20151008,0.84,0.34,0.74,0.53,0.69,0
20151009,0.12,0.1,-1.07,0.11,-0.11,0
20151012,0.06,-0.44,-0.08,0.1,-0.18,0
20151013,-0.74,-0.67,0.67,0.33,0.16,0
20151014,-0.6,-0.28,-0.06,-0.44,0.38,0
20151015,1.56,0.62,-0.09,-1.08,-0.36,0
20151016,0.36,-0.53,-0.32,0.04,0.06,0
20151019,0,0.11,-0.68,0.15,-0.32,0
20151020,-0.15,0.15,1.22,0.47,0.14,0
20151021,-0.74,-0.9,-0.2,0.44,0.16,0
20151022,1.5,-0.77,0.32,0.03,0.52,0
20151023,1.09,-0.03,-0.56,0.25,-0.66,0
